sa2_code_2021,sa2_name_2021,state_name_2021,area_albers_sqkm,median_equivalised_household_income_weekly_2021,median_total_income_excl_gov_allowances_2020,mean_total_income_excl_gov_allowances_2020,gini_total_income_excl_gov_allowances_2020,income_share_top_1pct_2020,income_share_top_5pct_2020,income_share_top_10pct_2020
121021406,Normanhurst - Thornleigh - Westleigh,New South Wales,9.9882,1500,60588,79771,0.486,6.4,19.6,31.6
121021577,Hornsby - East,New South Wales,2.5688,1182,53611,63441,0.428,5,16.5,27.5
125011584,Auburn - South,New South Wales,2.4313000000000002,752,38541,47481,0.443,5.4,17.6,28.9
121021578,Hornsby - West,New South Wales,6.2858,1257,,,,,,
121021579,Wahroonga (West) - Waitara,New South Wales,2.1124,1356,61189,75019,0.468,6.1,18.5,29.8
121041417,North Sydney - Lavender Bay,New South Wales,1.9142000000000001,2086,82003,121959,0.539,12.6,29,40.4
121031407,Gordon - Killara,New South Wales,11.6713,1616,58867,105459,0.613,15.4,33.7,46.1
121031408,Lindfield - Roseville,New South Wales,11.8765,1777,65475,121901,0.62,16.6,35.1,47.5
121031409,Pymble,New South Wales,10.2515,1856,65803,111004,0.585,12.8,29.9,42.6
125011585,Berala,New South Wales,2.0865,855,39969,48134,0.441,4.9,17,28.2
121031410,St Ives,New South Wales,17.7774,1660,59761,97561,0.579,11.1,27.8,40.7
121031411,Turramurra,New South Wales,20.6426,1672,61300,103354,0.578,12.3,29.2,41.6
121031412,Wahroonga (East) - Warrawee,New South Wales,13.327,1780,65000,115362,0.611,15.5,33.9,46.2
121041413,Cremorne - Cammeray,New South Wales,3.238,1943,,,,,,
121041414,Crows Nest - Waverton,New South Wales,2.9668,1937,79894,106111,0.49,10,24,35
121041416,Neutral Bay - Kirribilli,New South Wales,2.2116,1887,,,,,,
121041688,Mosman - North,New South Wales,3.2831,1947,,,,,,
121041689,Mosman - South,New South Wales,5.3672,2007,,,,,,
122011418,Balgowlah - Clontarf - Seaforth,New South Wales,7.6104,1919,69657,129330,0.604,13.8,32.7,45.9
122011419,Manly - Fairlight,New South Wales,6.7351,2070,74002,123137,0.577,16.3,32.5,44
122021420,Avalon - Palm Beach,New South Wales,8.6057,1508,54810,103089,0.62,21.1,37.9,48.9
122021421,Bayview - Elanora Heights,New South Wales,64.583,1459,56934,96539,0.585,16.3,32.5,44.1
122021422,Newport - Bilgola,New South Wales,5.798,1550,59932,90148,0.544,12.4,27.9,39.8
122021690,Mona Vale - Warriewood (North),New South Wales,6.4617,1365,,,,,,
122021691,North Narrabeen - Warriewood (South),New South Wales,5.201,1485,,,,,,
122031424,Beacon Hill - Narraweena,New South Wales,4.3406,1281,54926,74260,0.487,8.2,22.3,34.3
122031425,Cromer,New South Wales,7.4915,1289,55299,75729,0.493,7.6,21.8,33.9
122031427,Forestville - Killarney Heights,New South Wales,8.9311,1491,59273,91244,0.542,9.2,25.2,37.9
122031429,Freshwater - Brookvale,New South Wales,7.1838,1751,67756,101588,0.532,13.1,29.1,40.4
122031694,Dee Why (South) - North Curl Curl,New South Wales,1.9915,1572,,,,,,
122031430,Manly Vale - Allambie Heights,New South Wales,9.3541,1592,62593,92442,0.523,10.4,25.3,37.5
122031432,Terrey Hills - Duffys Forest,New South Wales,70.5438,1527,59633,97814,0.572,15.1,31.6,43.1
122031692,Belrose,New South Wales,13.4385,1409,,,,,,
122031693,Collaroy - Collaroy Plateau,New South Wales,4.1295,1540,,,,,,
122031695,Dee Why - North,New South Wales,2.0816,1345,,,,,,
123011698,Currans Hill,New South Wales,7.0704,1197,,,,,,
123011699,Elderslie - Narellan,New South Wales,15.3086,1207,,,,,,
122031696,Frenchs Forest - Oxford Falls,New South Wales,16.6936,1591,,,,,,
122031697,Narrabeen - Wheeler Heights,New South Wales,3.0327,1298,,,,,,
123011700,Harrington Park,New South Wales,6.2329,1407,,,,,,
123011433,Camden - Ellis Lane,New South Wales,26.1934,1181,59327,72005,0.446,6.8,18.9,29.9
123011701,Mount Annan,New South Wales,13.2044,1257,,,,,,
123011702,Spring Farm,New South Wales,5.8595,1338,,,,,,
123021436,Bradbury - Wedderburn,New South Wales,36.6552,894,53106,57249,0.379,4.1,14.3,24.3
